10:32:26.933 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 ConnAlertingEv 1003::1 [#175] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.933 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP001B2431F2F6 [#177] Cause:0 CallCtlCause:0 CiscoCause:100 FeatReason:12
10:32:26.933 | SEP00E04C55F91C      | OT(Call) : SEP00E04C55F91C      | (P1-dtcjtapi) 5011/1 TermConnRingingEv SEP001B2431F2F6 [#178] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 CallActiveEv [#180] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 CallActiveEv [#152] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 101
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1004::1 [#153] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 106
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnConnectedEv 1004::1 [#154] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 105
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnCreatedEv SEP00E04C55F91C [#169] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 116
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 TermConnActiveEv SEP00E04C55F91C [#170] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 115
10:32:26.934 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1003::1 [#172] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.934 | SEP001B2431F2F6      | OT(Call) : 1003            | 106
10:32:26.935 | 1003                 | OA(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnInProgressEv 1003::1 [#173] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.935 | SEP001B2431F2F6      | OT(Call) : 1003                 | (P1-dtcjtapi) 5011/1 ConnInProgressEv 1003::1 [#173] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.935 | SEP001B2431F2F6      | OT(Call) : SEP001B2431F2F6      | (P1-dtcjtapi) 5011/1 TermConnRingingEv SEP001B2431F2F6 [#191] Cause:100 CallCtlCause:0 CiscoCause:31 FeatReason:12
10:32:26.935 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnCreatedEv 1003::1 [#149] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.935 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnInProgressEv 1003::1 [#150] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
10:32:26.935 | 1004                 | OA(Call) : 1004                 | (P1-dtcjtapi) 5011/1 ConnAlertingEv 1003::1 [#175] Cause:100 CallCtlCause:0 CiscoCause:0 FeatReason:12
